"evtype_data";"passage_num1_output";"passage_num2_output";"passage_num3_output"
"1";"   HIGH SURF ADVISORY";"High Surf";"High Surf";"High Surf"
"2";" COASTAL FLOOD";"Flood";"Coastal Flood";"Coastal Flood"
"3";" FLASH FLOOD";"Flood";"Flash Flood";"Flash Flood"
"4";" LIGHTNING";"Lightning";NA;NA
"5";" TSTM WIND";NA;"Thunderstorm Wind";"Thunderstorm Wind"
"6";" TSTM WIND (G45)";NA;"Thunderstorm Wind";"Thunderstorm Wind"
"7";" WATERSPOUT";"Waterspout";NA;NA
"8";" WIND";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"9";"?";NA;NA;NA
"10";"ABNORMAL WARMTH";NA;"Heat";"Heat"
"11";"ABNORMALLY DRY";NA;"Drought";"Drought"
"12";"ABNORMALLY WET";NA;NA;"Heavy Rain"
"13";"ACCUMULATED SNOWFALL";NA;"Heavy Snow";"Heavy Snow"
"14";"AGRICULTURAL FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"15";"APACHE COUNTY";NA;NA;NA
"16";"ASTRONOMICAL HIGH TIDE";NA;"Storm Surge/Tide";"Storm Surge/Tide"
"17";"ASTRONOMICAL LOW TIDE";"Astronomical Low Tide";NA;NA
"18";"AVALANCE";NA;NA;NA
"19";"AVALANCHE";"Avalanche";NA;NA
"20";"BEACH EROSIN";NA;"Coastal Flood";"Coastal Flood"
"21";"BEACH EROSION";NA;"Coastal Flood";"Coastal Flood"
"22";"BEACH EROSION/COASTAL FLOOD";"Flood";"Coastal Flood";"Coastal Flood"
"23";"BEACH FLOOD";"Flood";"Coastal Flood";"Coastal Flood"
"24";"BELOW NORMAL PRECIPITATION";NA;"Heavy Rain";"Drought"
"25";"BITTER WIND CHILL";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"26";"BITTER WIND CHILL TEMPERATURES";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"27";"BLACK ICE";NA;"Frost/Freeze";"Frost/Freeze"
"28";"BLIZZARD";"Blizzard";NA;"Blizzard"
"29";"BLIZZARD AND EXTREME WIND CHIL";"Blizzard";"Cold/Wind Chill";"Blizzard"
"30";"BLIZZARD AND HEAVY SNOW";"Heavy Snow";"Heavy Snow";"Blizzard"
"31";"BLIZZARD WEATHER";"Blizzard";NA;"Blizzard"
"32";"BLIZZARD/FREEZING RAIN";"Blizzard";NA;"Frost/Freeze"
"33";"BLIZZARD/HEAVY SNOW";"Heavy Snow";"Heavy Snow";"Blizzard"
"34";"BLIZZARD/HIGH WIND";"High Wind";"Cold/Wind Chill";"Blizzard"
"35";"BLIZZARD/WINTER STORM";"Winter Storm";NA;"Blizzard"
"36";"BLOW-OUT TIDE";NA;"Storm Surge/Tide";"Storm Surge/Tide"
"37";"BLOW-OUT TIDES";NA;"Storm Surge/Tide";"Storm Surge/Tide"
"38";"BLOWING DUST";NA;NA;"Dust Storm"
"39";"BLOWING SNOW";NA;"Heavy Snow";"Heavy Snow"
"40";"BLOWING SNOW & EXTREME WIND CH";NA;"Heavy Snow";"Heavy Snow"
"41";"BLOWING SNOW- EXTREME WIND CHI";NA;"Heavy Snow";"Heavy Snow"
"42";"BLOWING SNOW/EXTREME WIND CHIL";NA;"Heavy Snow";"Heavy Snow"
"43";"BREAKUP FLOODING";"Flood";NA;NA
"44";"BRUSH FIRE";NA;"Wildfire";"Wildfire"
"45";"BRUSH FIRES";NA;"Wildfire";"Wildfire"
"46";"Beach Erosion";NA;"Coastal Flood";"Coastal Flood"
"47";"Black Ice";NA;"Frost/Freeze";"Frost/Freeze"
"48";"Blizzard Summary";"Blizzard";"Summary";"Blizzard"
"49";"Blowing Snow";NA;"Heavy Snow";"Heavy Snow"
"50";"COASTAL  FLOODING/EROSION";"Flood";NA;NA
"51";"COASTAL EROSION";NA;"Coastal Flood";"Coastal Flood"
"52";"COASTAL FLOOD";"Flood";"Coastal Flood";"Coastal Flood"
"53";"COASTAL FLOODING";"Flood";"Coastal Flood";"Coastal Flood"
"54";"COASTAL FLOODING/EROSION";"Flood";"Coastal Flood";"Coastal Flood"
"55";"COASTAL STORM";NA;"Marine Strong Wind";"Marine Strong Wind"
"56";"COASTAL SURGE";NA;NA;NA
"57";"COASTAL/TIDAL FLOOD";"Flood";NA;"Coastal Flood"
"58";"COASTALFLOOD";"Flood";NA;"Coastal Flood"
"59";"COASTALSTORM";NA;"Marine Strong Wind";"Marine Strong Wind"
"60";"COLD";NA;"Frost/Freeze";"Frost/Freeze"
"61";"COLD AIR FUNNEL";NA;"Frost/Freeze";"Funnel Cloud"
"62";"COLD AIR FUNNELS";NA;"Frost/Freeze";"Funnel Cloud"
"63";"COLD AIR TORNADO";"Tornado";"Frost/Freeze";"Frost/Freeze"
"64";"COLD AND FROST";NA;"Frost/Freeze";"Frost/Freeze"
"65";"COLD AND SNOW";NA;"Frost/Freeze";"Frost/Freeze"
"66";"COLD AND WET CONDITIONS";NA;"Frost/Freeze";"Heavy Rain"
"67";"COLD TEMPERATURES";NA;"Frost/Freeze";"Frost/Freeze"
"68";"COLD WAVE";NA;"Frost/Freeze";"Frost/Freeze"
"69";"COLD WEATHER";NA;"Frost/Freeze";"Frost/Freeze"
"70";"COLD WIND CHILL TEMPERATURES";"Cold Wind Chill";"Cold/Wind Chill";"Cold/Wind Chill"
"71";"COLD/WIND CHILL";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"72";"COLD/WINDS";NA;"Frost/Freeze";"Cold/Wind Chill"
"73";"COOL AND WET";NA;"Frost/Freeze";"Heavy Rain"
"74";"COOL SPELL";NA;"Frost/Freeze";"Frost/Freeze"
"75";"CSTL FLOODING/EROSION";"Flood";"Coastal Flood";"Coastal Flood"
"76";"Coastal Flood";"Flood";"Coastal Flood";"Coastal Flood"
"77";"Coastal Flooding";"Flood";"Coastal Flood";"Coastal Flood"
"78";"Coastal Storm";NA;"Marine Strong Wind";"Marine Strong Wind"
"79";"Cold";NA;"Frost/Freeze";"Frost/Freeze"
"80";"Cold Temperature";NA;"Frost/Freeze";"Frost/Freeze"
"81";"Cold and Frost";NA;"Frost/Freeze";"Frost/Freeze"
"82";"DAM BREAK";NA;NA;NA
"83";"DAM FAILURE";NA;NA;NA
"84";"DAMAGING FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"85";"DEEP HAIL";"Hail";NA;NA
"86";"DENSE FOG";"Dense Fog";"Dense Fog";"Dense Fog"
"87";"DENSE SMOKE";"Dense Smoke";NA;"Wildfire"
"88";"DOWNBURST";NA;NA;"Cold/Wind Chill"
"89";"DOWNBURST WINDS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"90";"DRIEST MONTH";NA;"Drought";"Drought"
"91";"DROUGHT";"Drought";NA;"Drought"
"92";"DROUGHT/EXCESSIVE HEAT";"Heat";NA;"Drought"
"93";"DROWNING";NA;NA;NA
"94";"DRY";NA;"Drought";"Drought"
"95";"DRY CONDITIONS";NA;"Drought";"Drought"
"96";"DRY HOT WEATHER";NA;"Drought";"Drought"
"97";"DRY MICROBURST";NA;"Drought";"High Wind"
"98";"DRY MICROBURST 50";NA;"Drought";"High Wind"
"99";"DRY MICROBURST 53";NA;"Drought";"High Wind"
"100";"DRY MICROBURST 58";NA;"Drought";"High Wind"
"101";"DRY MICROBURST 61";NA;"Drought";"High Wind"
"102";"DRY MICROBURST 84";NA;"Drought";"High Wind"
"103";"DRY MICROBURST WINDS";NA;"Drought";"High Wind"
"104";"DRY MIRCOBURST WINDS";NA;"Drought";"Drought"
"105";"DRY PATTERN";NA;"Drought";"Drought"
"106";"DRY SPELL";NA;"Drought";"Drought"
"107";"DRY WEATHER";NA;"Drought";"Drought"
"108";"DRYNESS";NA;"Drought";"Drought"
"109";"DUST DEVEL";NA;"Dust Storm";"Dust Storm"
"110";"DUST DEVIL";"Dust Devil";NA;"Dust Storm"
"111";"DUST DEVIL WATERSPOUT";"Waterspout";NA;"Dust Storm"
"112";"DUST STORM";"Dust Storm";NA;"Dust Storm"
"113";"DUST STORM/HIGH WINDS";"High Wind";"High Wind";"Dust Storm"
"114";"DUSTSTORM";NA;NA;"Dust Storm"
"115";"Damaging Freeze";NA;"Frost/Freeze";"Frost/Freeze"
"116";"Drifting Snow";NA;"Heavy Snow";"Heavy Snow"
"117";"Dust Devil";"Dust Devil";NA;"Dust Storm"
"118";"EARLY FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"119";"EARLY FROST";NA;"Frost/Freeze";"Frost/Freeze"
"120";"EARLY RAIN";NA;NA;"Heavy Rain"
"121";"EARLY SNOW";NA;"Heavy Snow";"Heavy Snow"
"122";"EARLY SNOWFALL";NA;"Heavy Snow";"Heavy Snow"
"123";"EXCESSIVE";NA;NA;NA
"124";"EXCESSIVE HEAT";"Heat";NA;NA
"125";"EXCESSIVE HEAT/DROUGHT";"Heat";NA;"Drought"
"126";"EXCESSIVE PRECIPITATION";NA;"Heavy Rain";"Heavy Rain"
"127";"EXCESSIVE RAIN";NA;NA;"Heavy Rain"
"128";"EXCESSIVE RAINFALL";NA;"Heavy Rain";"Heavy Rain"
"129";"EXCESSIVE SNOW";NA;"Heavy Snow";"Heavy Snow"
"130";"EXCESSIVE WETNESS";NA;NA;"Heavy Rain"
"131";"EXCESSIVELY DRY";NA;"Drought";"Drought"
"132";"EXTREME COLD";NA;"Frost/Freeze";"Frost/Freeze"
"133";"EXTREME COLD/WIND CHILL";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"134";"EXTREME HEAT";"Heat";NA;NA
"135";"EXTREME WIND CHILL";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"136";"EXTREME WIND CHILL/BLOWING SNO";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"137";"EXTREME WIND CHILLS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"138";"EXTREME WINDCHILL";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"139";"EXTREME WINDCHILL TEMPERATURES";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"140";"EXTREME/RECORD COLD";NA;"Frost/Freeze";"Frost/Freeze"
"141";"EXTREMELY WET";NA;NA;"Heavy Rain"
"142";"Early Frost";NA;"Frost/Freeze";"Frost/Freeze"
"143";"Early snowfall";NA;"Heavy Snow";"Heavy Snow"
"144";"Erosion/Cstl Flood";"Flood";NA;"Coastal Flood"
"145";"Excessive Cold";NA;"Frost/Freeze";"Frost/Freeze"
"146";"Extended Cold";NA;"Frost/Freeze";"Frost/Freeze"
"147";"Extreme Cold";NA;"Frost/Freeze";"Frost/Freeze"
"148";"FALLING SNOW/ICE";NA;"Frost/Freeze";"Heavy Snow"
"149";"FIRST FROST";NA;"Frost/Freeze";"Frost/Freeze"
"150";"FIRST SNOW";NA;"Heavy Snow";"Heavy Snow"
"151";"FLASH FLOOD";"Flood";"Flash Flood";"Flash Flood"
"152";"FLASH FLOOD - HEAVY RAIN";"Heavy Rain";"Flash Flood";"Heavy Rain"
"153";"FLASH FLOOD FROM ICE JAMS";"Flood";"Flash Flood";"Flash Flood"
"154";"FLASH FLOOD LANDSLIDES";"Flood";"Flash Flood";"Flash Flood"
"155";"FLASH FLOOD WINDS";"Flood";"Flash Flood";"Flash Flood"
"156";"FLASH FLOOD/";"Flood";"Flash Flood";"Flash Flood"
"157";"FLASH FLOOD/ FLOOD";"Flood";"Flash Flood";"Flash Flood"
"158";"FLASH FLOOD/ STREET";"Flood";"Flash Flood";"Flash Flood"
"159";"FLASH FLOOD/FLOOD";"Flood";"Flash Flood";"Flash Flood"
"160";"FLASH FLOOD/HEAVY RAIN";"Heavy Rain";"Flash Flood";"Heavy Rain"
"161";"FLASH FLOOD/LANDSLIDE";"Flood";"Flash Flood";"Flash Flood"
"162";"FLASH FLOODING";"Flood";"Flash Flood";"Flash Flood"
"163";"FLASH FLOODING/FLOOD";"Flood";"Flash Flood";"Flash Flood"
"164";"FLASH FLOODING/THUNDERSTORM WI";"Flood";"Thunderstorm Wind";"Flash Flood"
"165";"FLASH FLOODS";"Flood";"Flash Flood";"Flash Flood"
"166";"FLASH FLOOODING";NA;"Flash Flood";"Flash Flood"
"167";"FLOOD";"Flood";NA;NA
"168";"FLOOD & HEAVY RAIN";"Heavy Rain";NA;"Flood"
"169";"FLOOD FLASH";"Flood";"Flash Flood";"Flash Flood"
"170";"FLOOD FLOOD/FLASH";"Flood";"Flash Flood";"Flash Flood"
"171";"FLOOD WATCH/";"Flood";NA;NA
"172";"FLOOD/FLASH";"Flood";"Flash Flood";"Flash Flood"
"173";"FLOOD/FLASH FLOOD";"Flood";"Flash Flood";"Flash Flood"
"174";"FLOOD/FLASH FLOODING";"Flood";"Flash Flood";"Flash Flood"
"175";"FLOOD/FLASH/FLOOD";"Flood";"Flash Flood";"Flash Flood"
"176";"FLOOD/FLASHFLOOD";"Flood";"Flash Flood";"Flash Flood"
"177";"FLOOD/RAIN/WIND";"Flood";"Cold/Wind Chill";"Heavy Rain"
"178";"FLOOD/RAIN/WINDS";"Flood";"Cold/Wind Chill";"Heavy Rain"
"179";"FLOOD/RIVER FLOOD";"Flood";NA;NA
"180";"FLOODING";"Flood";NA;NA
"181";"FLOODING/HEAVY RAIN";"Heavy Rain";NA;"Heavy Rain"
"182";"FLOODS";"Flood";NA;NA
"183";"FOG";NA;"Dense Fog";"Dense Fog"
"184";"FOG AND COLD TEMPERATURES";NA;"Dense Fog";"Dense Fog"
"185";"FOREST FIRES";NA;"Wildfire";"Wildfire"
"186";"FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"187";"FREEZING DRIZZLE";NA;NA;"Frost/Freeze"
"188";"FREEZING DRIZZLE AND FREEZING";NA;NA;"Frost/Freeze"
"189";"FREEZING FOG";"Freezing Fog";"Dense Fog";"Dense Fog"
"190";"FREEZING RAIN";NA;NA;"Frost/Freeze"
"191";"FREEZING RAIN AND SLEET";"Sleet";NA;"Frost/Freeze"
"192";"FREEZING RAIN AND SNOW";NA;"Heavy Snow";"Frost/Freeze"
"193";"FREEZING RAIN SLEET AND";"Sleet";NA;"Frost/Freeze"
"194";"FREEZING RAIN SLEET AND LIGHT";"Sleet";NA;"Frost/Freeze"
"195";"FREEZING RAIN/SLEET";"Sleet";NA;"Frost/Freeze"
"196";"FREEZING RAIN/SNOW";NA;"Heavy Snow";"Frost/Freeze"
"197";"FROST";NA;"Frost/Freeze";"Frost/Freeze"
"198";"FROST/FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"199";"FROST\FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"200";"FUNNEL";NA;NA;"Funnel Cloud"
"201";"FUNNEL CLOUD";"Funnel Cloud";NA;"Funnel Cloud"
"202";"FUNNEL CLOUD.";"Funnel Cloud";NA;"Funnel Cloud"
"203";"FUNNEL CLOUD/HAIL";"Hail";NA;"Funnel Cloud"
"204";"FUNNEL CLOUDS";"Funnel Cloud";NA;"Funnel Cloud"
"205";"FUNNELS";NA;NA;"Funnel Cloud"
"206";"Flood";"Flood";NA;NA
"207";"Flood/Flash Flood";"Flood";"Flash Flood";"Flash Flood"
"208";"Flood/Strong Wind";"Strong Wind";"Cold/Wind Chill";"Flood"
"209";"Freeze";NA;"Frost/Freeze";"Frost/Freeze"
"210";"Freezing Drizzle";NA;NA;"Frost/Freeze"
"211";"Freezing Fog";"Freezing Fog";"Dense Fog";"Dense Fog"
"212";"Freezing Rain";NA;NA;"Frost/Freeze"
"213";"Freezing Spray";NA;NA;"Frost/Freeze"
"214";"Freezing drizzle";NA;NA;"Frost/Freeze"
"215";"Freezing rain";NA;NA;"Frost/Freeze"
"216";"Frost";NA;"Frost/Freeze";"Frost/Freeze"
"217";"Frost/Freeze";NA;"Frost/Freeze";"Frost/Freeze"
"218";"Funnel Cloud";"Funnel Cloud";NA;"Funnel Cloud"
"219";"GLAZE";NA;"Frost/Freeze";"Frost/Freeze"
"220";"GLAZE ICE";NA;"Frost/Freeze";"Frost/Freeze"
"221";"GLAZE/ICE STORM";"Ice Storm";"Frost/Freeze";"Frost/Freeze"
"222";"GRADIENT WIND";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"223";"GRADIENT WINDS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"224";"GRASS FIRES";NA;"Wildfire";"Wildfire"
"225";"GROUND BLIZZARD";"Blizzard";NA;"Blizzard"
"226";"GUSTNADO";NA;"Tornado";"Tornado"
"227";"GUSTNADO AND";NA;"Tornado";"Tornado"
"228";"GUSTY LAKE WIND";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"229";"GUSTY THUNDERSTORM WIND";"Thunderstorm Wind";"Thunderstorm Wind";"Thunderstorm Wind"
"230";"GUSTY THUNDERSTORM WINDS";"Thunderstorm Wind";"Thunderstorm Wind";"Thunderstorm Wind"
"231";"GUSTY WIND";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"232";"GUSTY WIND/HAIL";"Hail";"Cold/Wind Chill";"Cold/Wind Chill"
"233";"GUSTY WIND/HVY RAIN";NA;"Cold/Wind Chill";"Heavy Rain"
"234";"GUSTY WINDS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"235";"Glaze";NA;"Frost/Freeze";"Frost/Freeze"
"236";"Gradient wind";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"237";"Gusty Wind";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"238";"Gusty Winds";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"239";"Gusty wind/rain";NA;"Cold/Wind Chill";"Heavy Rain"
"240";"Gusty winds";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"241";"HAIL";"Hail";NA;NA
"242";"HAIL 0.75";"Hail";NA;NA
"243";"HAIL 0.88";"Hail";NA;NA
"244";"HAIL 075";"Hail";NA;NA
"245";"HAIL 088";"Hail";NA;NA
"246";"HAIL 1.00";"Hail";NA;NA
"247";"HAIL 1.75";"Hail";NA;NA
"248";"HAIL 1.75)";"Hail";NA;NA
"249";"HAIL 100";"Hail";NA;NA
"250";"HAIL 125";"Hail";NA;NA
"251";"HAIL 150";"Hail";NA;NA
"252";"HAIL 175";"Hail";NA;NA
"253";"HAIL 200";"Hail";NA;NA
"254";"HAIL 225";"Hail";NA;NA
"255";"HAIL 275";"Hail";NA;NA
"256";"HAIL 450";"Hail";NA;NA
"257";"HAIL 75";"Hail";NA;NA
"258";"HAIL 80";"Hail";NA;NA
"259";"HAIL 88";"Hail";NA;NA
"260";"HAIL ALOFT";"Hail";NA;NA
"261";"HAIL DAMAGE";"Hail";NA;NA
"262";"HAIL FLOODING";"Hail";NA;NA
"263";"HAIL STORM";"Hail";NA;NA
"264";"HAIL/ICY ROADS";"Hail";NA;"Frost/Freeze"
"265";"HAIL/WIND";"Hail";"Cold/Wind Chill";"Cold/Wind Chill"
"266";"HAIL/WINDS";"Hail";"Cold/Wind Chill";"Cold/Wind Chill"
"267";"HAILSTORM";"Hail";NA;NA
"268";"HAILSTORMS";"Hail";NA;NA
"269";"HARD FREEZE";NA;"Frost/Freeze";"Frost/Freeze"
"270";"HAZARDOUS SURF";NA;"High Surf";"High Surf"
"271";"HEAT";"Heat";NA;NA
"272";"HEAT DROUGHT";"Heat";NA;"Drought"
"273";"HEAT WAVE";"Heat";NA;NA
"274";"HEAT WAVE DROUGHT";"Heat";NA;"Drought"
"275";"HEAT WAVES";"Heat";NA;NA
"276";"HEAT/DROUGHT";"Heat";NA;"Drought"
"277";"HEAVY LAKE SNOW";NA;"Heavy Snow";"Heavy Snow"
"278";"HEAVY MIX";NA;NA;NA
"279";"HEAVY PRECIPATATION";NA;"Heavy Rain";"Heavy Rain"
"280";"HEAVY PRECIPITATION";NA;"Heavy Rain";"Heavy Rain"
"281";"HEAVY RAIN";"Heavy Rain";NA;"Heavy Rain"
"282";"HEAVY RAIN AND FLOOD";"Heavy Rain";NA;"Heavy Rain"
"283";"HEAVY RAIN EFFECTS";"Heavy Rain";NA;"Heavy Rain"
"284";"HEAVY RAIN/FLOODING";"Heavy Rain";NA;"Heavy Rain"
"285";"HEAVY RAIN/LIGHTNING";"Lightning";NA;"Heavy Rain"
"286";"HEAVY RAIN/MUDSLIDES/FLOOD";"Heavy Rain";"Debris Flow";"Heavy Rain"
"287";"HEAVY RAIN/SEVERE WEATHER";"Heavy Rain";NA;"Heavy Rain"
"288";"HEAVY RAIN/SMALL STREAM URBAN";"Heavy Rain";"Flood";"Heavy Rain"
"289";"HEAVY RAIN/SNOW";"Heavy Rain";"Heavy Snow";"Heavy Rain"
"290";"HEAVY RAIN/URBAN FLOOD";"Heavy Rain";"Flood";"Heavy Rain"
"291";"HEAVY RAIN/WIND";"Heavy Rain";"Cold/Wind Chill";"Heavy Rain"
"292";"HEAVY RAIN; URBAN FLOOD WINDS;";"Heavy Rain";"Flood";"Heavy Rain"
"293";"HEAVY RAINFALL";"Heavy Rain";"Heavy Rain";"Heavy Rain"
"294";"HEAVY RAINS";"Heavy Rain";NA;"Heavy Rain"
"295";"HEAVY RAINS/FLOODING";"Heavy Rain";NA;"Heavy Rain"
"296";"HEAVY SEAS";NA;NA;NA
"297";"HEAVY SHOWER";NA;"Heavy Rain";"Heavy Rain"
"298";"HEAVY SHOWERS";NA;"Heavy Rain";"Heavy Rain"
"299";"HEAVY SNOW";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"300";"HEAVY SNOW   FREEZING RAIN";"Heavy Snow";"Heavy Snow";"Frost/Freeze"
"301";"HEAVY SNOW & ICE";"Heavy Snow";"Frost/Freeze";"Frost/Freeze"
"302";"HEAVY SNOW AND";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"303";"HEAVY SNOW AND HIGH WINDS";"High Wind";"High Wind";"Heavy Snow"
"304";"HEAVY SNOW AND ICE";"Heavy Snow";"Frost/Freeze";"Heavy Snow"
"305";"HEAVY SNOW AND ICE STORM";"Ice Storm";"Frost/Freeze";"Heavy Snow"
"306";"HEAVY SNOW AND STRONG WINDS";"Strong Wind";"Heavy Snow";"Heavy Snow"
"307";"HEAVY SNOW ANDBLOWING SNOW";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"308";"HEAVY SNOW SQUALLS";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"309";"HEAVY SNOW-SQUALLS";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"310";"HEAVY SNOW/BLIZZARD";"Heavy Snow";"Heavy Snow";"Blizzard"
"311";"HEAVY SNOW/BLIZZARD/AVALANCHE";"Heavy Snow";"Heavy Snow";"Blizzard"
"312";"HEAVY SNOW/BLOWING SNOW";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"313";"HEAVY SNOW/FREEZING RAIN";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"314";"HEAVY SNOW/HIGH";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"315";"HEAVY SNOW/HIGH WIND";"High Wind";"Heavy Snow";"Heavy Snow"
"316";"HEAVY SNOW/HIGH WINDS";"High Wind";"High Wind";"Heavy Snow"
"317";"HEAVY SNOW/HIGH WINDS & FLOOD";"High Wind";"High Wind";"Heavy Snow"
"318";"HEAVY SNOW/HIGH WINDS/FREEZING";"High Wind";"High Wind";"Heavy Snow"
"319";"HEAVY SNOW/ICE";"Heavy Snow";"Frost/Freeze";"Heavy Snow"
"320";"HEAVY SNOW/ICE STORM";"Ice Storm";"Frost/Freeze";"Heavy Snow"
"321";"HEAVY SNOW/SLEET";"Sleet";"Heavy Snow";"Heavy Snow"
"322";"HEAVY SNOW/SQUALLS";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"323";"HEAVY SNOW/WIND";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"324";"HEAVY SNOW/WINTER STORM";"Winter Storm";"Heavy Snow";"Heavy Snow"
"325";"HEAVY SNOWPACK";"Heavy Snow";"Heavy Snow";"Heavy Snow"
"326";"HEAVY SURF";NA;"High Surf";"High Surf"
"327";"HEAVY SURF COASTAL FLOODING";"Flood";"High Surf";"High Surf"
"328";"HEAVY SURF/HIGH SURF";"High Surf";"High Surf";"High Surf"
"329";"HEAVY SWELLS";NA;NA;NA
"330";"HEAVY WET SNOW";NA;"Heavy Snow";"Heavy Rain"
"331";"HIGH";NA;NA;NA
"332";"HIGH  SWELLS";NA;NA;"High Surf"
"333";"HIGH  WINDS";NA;"Cold/Wind Chill";"Cold/Wind Chill"
"334";"HIGH SEAS";NA;NA;"High Surf"
"335";"HIGH SURF";"High Surf";"High Surf";"High Surf"
"336";"HIGH SURF ADVISORIES";"High Surf";"High Surf";"High Surf"
"337";"HIGH SURF ADVISORY";"High Surf";"High Surf";"High Surf"
"338";"HIGH SWELLS";NA;NA;NA
"339";"HIGH TEMPERATURE RECORD";NA;NA;"Heat"
"340";"HIGH TIDES";NA;"Storm Surge/Tide";"Storm Surge/Tide"
"341";"HIGH WATER";NA;NA;"Storm Surge/Tide"
"342";"HIGH WAVES";NA;NA;"High Surf"
"343";"HIGH WIND";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"344";"HIGH WIND (G40)";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"345";"HIGH WIND 48";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"346";"HIGH WIND 63";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"347";"HIGH WIND 70";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"348";"HIGH WIND AND HEAVY SNOW";"High Wind";"Heavy Snow";"Heavy Snow"
"349";"HIGH WIND AND HIGH TIDES";"High Wind";"Storm Surge/Tide";"Storm Surge/Tide"
"350";"HIGH WIND AND SEAS";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"351";"HIGH WIND DAMAGE";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"352";"HIGH WIND/ BLIZZARD";"High Wind";"Cold/Wind Chill";"Blizzard"
"353";"HIGH WIND/BLIZZARD";"High Wind";"Cold/Wind Chill";"Blizzard"
"354";"HIGH WIND/BLIZZARD/FREEZING RA";"High Wind";"Cold/Wind Chill";"Blizzard"
"355";"HIGH WIND/HEAVY SNOW";"High Wind";"Heavy Snow";"Heavy Snow"
"356";"HIGH WIND/LOW WIND CHILL";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"357";"HIGH WIND/SEAS";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"358";"HIGH WIND/WIND CHILL";"High Wind";"Cold/Wind Chill";"Cold/Wind Chill"
"359";"HIGH WIND/WIND CHILL/BLIZZARD";"High Wind";"Cold/Wind Chill";"Blizzard"
"360";"HIGH WINDS";"High Wind";"High Wind";"High Wind"
"361";"HIGH WINDS 55";"High Wind";"High Wind";"High Wind"
"362";"HIGH WINDS 57";"High Wind";"High Wind";"High Wind"
"363";"HIGH WINDS 58";"High Wind";"High Wind";"High Wind"
"364";"HIGH WINDS 63";"High Wind";"High Wind";"High Wind"
"365";"HIGH WINDS 66";"High Wind";"High Wind";"High Wind"
"366";"HIGH WINDS 67";"High Wind";"High Wind";"High Wind"
"367";"HIGH WINDS 73";"High Wind";"High Wind";"High Wind"
"368";"HIGH WINDS 76";"High Wind";"High Wind";"High Wind"
"369";"HIGH WINDS 80";"High Wind";"High Wind";"High Wind"
"370";"HIGH WINDS 82";"High Wind";"High Wind";"High Wind"
"371";"HIGH WINDS AND WIND CHILL";"High Wind";"High Wind";"High Wind"
"372";"HIGH WINDS DUST STORM";"High Wind";"High Wind";"Dust Storm"
"373";"HIGH WINDS HEAVY RAINS";"High Wind";"High Wind";"Heavy Rain"
"374";"HIGH WINDS/";"High Wind";"High Wind";"High Wind"
"375";"HIGH WINDS/COASTAL FLOOD";"High Wind";"High Wind";"Coastal Flood"
"376";"HIGH WINDS/COLD";"High Wind";"High Wind";"High Wind"
